town,puma_code,puma_name
Andover,09 01300,Tolland County PUMA
Ansonia,09 00903,"Hamden, Ansonia, Seymour, Derby, Woodbridge & Bethany Towns PUMA"
Ashford,09 01500,Windham County PUMA
Avon,09 00303,"West Hartford, Farmington, Simsbury, Bloomfield, Avon & Canton Towns PUMA"
Barkhamsted,09 00500,Litchfield County PUMA
Beacon Falls,09 00900,New Haven County (Northwest) PUMA
Berlin,09 00305,"New Britain, Berlin & Plainville Towns PUMA"
Bethany,09 00903,"Hamden, Ansonia, Seymour, Derby, Woodbridge & Bethany Towns PUMA"
Bethel,09 00100,"Danbury, Ridgefield, Bethel, Brookfield, New Fairfield, Redding & Sherman Towns PUMA"
Bethlehem,09 00500,Litchfield County PUMA
Bloomfield,09 00303,"West Hartford, Farmington, Simsbury, Bloomfield, Avon & Canton Towns PUMA"
Bolton,09 01300,Tolland County PUMA
Bozrah,09 01100,New London County (North) PUMA
Branford,09 00906,"East Haven, Branford, Guilford, Madison & North Branford Towns PUMA"
Bridgeport,09 00104,Bridgeport Town PUMA
Bridgewater,09 00500,Litchfield County PUMA
Bristol,09 00304,"Bristol, Southington & Burlington Towns PUMA"
Brookfield,09 00100,"Danbury, Ridgefield, Bethel, Brookfield, New Fairfield, Redding & Sherman Towns PUMA"
Brooklyn,09 01500,Windham County PUMA
Burlington,09 00304,"Bristol, Southington & Burlington Towns PUMA"
Canaan,09 00500,Litchfield County PUMA
Canterbury,09 01500,Windham County PUMA
Canton,09 00303,"West Hartford, Farmington, Simsbury, Bloomfield, Avon & Canton Towns PUMA"
Chaplin,09 01500,Windham County PUMA
Cheshire,09 00900,New Haven County (Northwest) PUMA
Chester,09 00700,Middlesex County PUMA
Clinton,09 00700,Middlesex County PUMA
Colchester,09 01100,New London County (North) PUMA
Colebrook,09 00500,Litchfield County PUMA
Columbia,09 01300,Tolland County PUMA
Cornwall,09 00500,Litchfield County PUMA
Coventry,09 01300,Tolland County PUMA
Cromwell,09 00700,Middlesex County PUMA
Danbury,09 00100,"Danbury, Ridgefield, Bethel, Brookfield, New Fairfield, Redding & Sherman Towns PUMA"
Darien,09 00103,"Norwalk, Westport & Darien Towns PUMA"
Deep River,09 00700,Middlesex County PUMA
Derby,09 00903,"Hamden, Ansonia, Seymour, Derby, Woodbridge & Bethany Towns PUMA"
Durham,09 00700,Middlesex County PUMA
East Granby,09 00300,Hartford County (North) PUMA
East Haddam,09 00700,Middlesex County PUMA
East Hampton,09 00700,Middlesex County PUMA
East Hartford,09 00301,Manchester & East Hartford Towns PUMA
East Haven,09 00906,"East Haven, Branford, Guilford, Madison & North Branford Towns PUMA"
East Lyme,09 01101,New London County (South) PUMA
East Windsor,09 00300,Hartford County (North) PUMA
Eastford,09 01500,Windham County PUMA
Easton,09 00101,"Fairfield, New Canaan, Wilton, Weston & Easton Towns PUMA"
Ellington,09 01300,Tolland County PUMA
Enfield,09 00300,Hartford County (North) PUMA
Essex,09 00700,Middlesex County PUMA
Fairfield,09 00101,"Fairfield, New Canaan, Wilton, Weston & Easton Towns PUMA"
Farmington,09 00303,"West Hartford, Farmington, Simsbury, Bloomfield, Avon & Canton Towns PUMA"
Franklin,09 01100,New London County (North) PUMA
Glastonbury,09 00306,"Glastonbury, Newington, Wethersfield, Rocky Hill & Marlborough Towns PUMA"
Goshen,09 00500,Litchfield County PUMA
Granby,09 00300,Hartford County (North) PUMA
Greenwich,09 00102,Stamford & Greenwich Towns PUMA
Griswold,09 01100,New London County (North) PUMA
Groton,09 01101,New London County (South) PUMA
Guilford,09 00906,"East Haven, Branford, Guilford, Madison & North Branford Towns PUMA"
Haddam,09 00700,Middlesex County PUMA
Hamden,09 00903,"Hamden, Ansonia, Seymour, Derby, Woodbridge & Bethany Towns PUMA"
Hampton,09 01500,Windham County PUMA
Hartford,09 00302,Hartford Town PUMA
Hartland,09 00300,Hartford County (North) PUMA
Harwinton,09 00500,Litchfield County PUMA
Hebron,09 01300,Tolland County PUMA
Kent,09 00500,Litchfield County PUMA
Killingly,09 01500,Windham County PUMA
Killingworth,09 00700,Middlesex County PUMA
Lebanon,09 01100,New London County (North) PUMA
Ledyard,09 01100,New London County (North) PUMA
Lisbon,09 01100,New London County (North) PUMA
Litchfield,09 00500,Litchfield County PUMA
Lyme,09 01101,New London County (South) PUMA
Madison,09 00906,"East Haven, Branford, Guilford, Madison & North Branford Towns PUMA"
Manchester,09 00301,Manchester & East Hartford Towns PUMA
Mansfield,09 01300,Tolland County PUMA
Marlborough,09 00306,"Glastonbury, Newington, Wethersfield, Rocky Hill & Marlborough Towns PUMA"
Meriden,09 00902,"Meriden, Wallingford & North Haven Towns PUMA"
Middlebury,09 00900,New Haven County (Northwest) PUMA
Middlefield,09 00700,Middlesex County PUMA
Middletown,09 00700,Middlesex County PUMA
Milford,09 00904,"West Haven, Milford & Orange Towns PUMA"
Monroe,09 00105,"Stratford, Shelton, Trumbull, Newtown & Monroe Towns PUMA"
Montville,09 01100,New London County (North) PUMA
Morris,09 00500,Litchfield County PUMA
Naugatuck,09 00900,New Haven County (Northwest) PUMA
New Britain,09 00305,"New Britain, Berlin & Plainville Towns PUMA"
New Canaan,09 00101,"Fairfield, New Canaan, Wilton, Weston & Easton Towns PUMA"
New Fairfield,09 00100,"Danbury, Ridgefield, Bethel, Brookfield, New Fairfield, Redding & Sherman Towns PUMA"
New Hartford,09 00500,Litchfield County PUMA
New Haven,09 00905,New Haven Town PUMA
New London,09 01101,New London County (South) PUMA
New Milford,09 00500,Litchfield County PUMA
Newington,09 00306,"Glastonbury, Newington, Wethersfield, Rocky Hill & Marlborough Towns PUMA"
Newtown,09 00105,"Stratford, Shelton, Trumbull, Newtown & Monroe Towns PUMA"
Norfolk,09 00500,Litchfield County PUMA
North Branford,09 00906,"East Haven, Branford, Guilford, Madison & North Branford Towns PUMA"
North Canaan,09 00500,Litchfield County PUMA
North Haven,09 00902,"Meriden, Wallingford & North Haven Towns PUMA"
North Stonington,09 01100,New London County (North) PUMA
Norwalk,09 00103,"Norwalk, Westport & Darien Towns PUMA"
Norwich,09 01100,New London County (North) PUMA
Old Lyme,09 01101,New London County (South) PUMA
Old Saybrook,09 00700,Middlesex County PUMA
Orange,09 00904,"West Haven, Milford & Orange Towns PUMA"
Oxford,09 00900,New Haven County (Northwest) PUMA
Plainfield,09 01500,Windham County PUMA
Plainville,09 00305,"New Britain, Berlin & Plainville Towns PUMA"
Plymouth,09 00500,Litchfield County PUMA
Pomfret,09 01500,Windham County PUMA
Portland,09 00700,Middlesex County PUMA
Preston,09 01100,New London County (North) PUMA
Prospect,09 00900,New Haven County (Northwest) PUMA
Putnam,09 01500,Windham County PUMA
Redding,09 00100,"Danbury, Ridgefield, Bethel, Brookfield, New Fairfield, Redding & Sherman Towns PUMA"
Ridgefield,09 00100,"Danbury, Ridgefield, Bethel, Brookfield, New Fairfield, Redding & Sherman Towns PUMA"
Rocky Hill,09 00306,"Glastonbury, Newington, Wethersfield, Rocky Hill & Marlborough Towns PUMA"
Roxbury,09 00500,Litchfield County PUMA
Salem,09 01100,New London County (North) PUMA
Salisbury,09 00500,Litchfield County PUMA
Scotland,09 01500,Windham County PUMA
Seymour,09 00903,"Hamden, Ansonia, Seymour, Derby, Woodbridge & Bethany Towns PUMA"
Sharon,09 00500,Litchfield County PUMA
Shelton,09 00105,"Stratford, Shelton, Trumbull, Newtown & Monroe Towns PUMA"
Sherman,09 00100,"Danbury, Ridgefield, Bethel, Brookfield, New Fairfield, Redding & Sherman Towns PUMA"
Simsbury,09 00303,"West Hartford, Farmington, Simsbury, Bloomfield, Avon & Canton Towns PUMA"
Somers,09 01300,Tolland County PUMA
South Windsor,09 00300,Hartford County (North) PUMA
Southbury,09 00900,New Haven County (Northwest) PUMA
Southington,09 00304,"Bristol, Southington & Burlington Towns PUMA"
Sprague,09 01100,New London County (North) PUMA
Stafford,09 01300,Tolland County PUMA
Stamford,09 00102,Stamford & Greenwich Towns PUMA
Sterling,09 01500,Windham County PUMA
Stonington,09 01101,New London County (South) PUMA
Stratford,09 00105,"Stratford, Shelton, Trumbull, Newtown & Monroe Towns PUMA"
Suffield,09 00300,Hartford County (North) PUMA
Thomaston,09 00500,Litchfield County PUMA
Thompson,09 01500,Windham County PUMA
Tolland,09 01300,Tolland County PUMA
Torrington,09 00500,Litchfield County PUMA
Trumbull,09 00105,"Stratford, Shelton, Trumbull, Newtown & Monroe Towns PUMA"
Union,09 01300,Tolland County PUMA
Vernon,09 01300,Tolland County PUMA
Voluntown,09 01100,New London County (North) PUMA
Wallingford,09 00902,"Meriden, Wallingford & North Haven Towns PUMA"
Warren,09 00500,Litchfield County PUMA
Washington,09 00500,Litchfield County PUMA
Waterbury,09 00901,Waterbury Town PUMA
Waterford,09 01101,New London County (South) PUMA
Watertown,09 00500,Litchfield County PUMA
West Hartford,09 00303,"West Hartford, Farmington, Simsbury, Bloomfield, Avon & Canton Towns PUMA"
West Haven,09 00904,"West Haven, Milford & Orange Towns PUMA"
Westbrook,09 00700,Middlesex County PUMA
Weston,09 00101,"Fairfield, New Canaan, Wilton, Weston & Easton Towns PUMA"
Westport,09 00103,"Norwalk, Westport & Darien Towns PUMA"
Wethersfield,09 00306,"Glastonbury, Newington, Wethersfield, Rocky Hill & Marlborough Towns PUMA"
Willington,09 01300,Tolland County PUMA
Wilton,09 00101,"Fairfield, New Canaan, Wilton, Weston & Easton Towns PUMA"
Winchester,09 00500,Litchfield County PUMA
Windham,09 01500,Windham County PUMA
Windsor,09 00300,Hartford County (North) PUMA
Windsor Locks,09 00300,Hartford County (North) PUMA
Wolcott,09 00900,New Haven County (Northwest) PUMA
Woodbridge,09 00903,"Hamden, Ansonia, Seymour, Derby, Woodbridge & Bethany Towns PUMA"
Woodbury,09 00500,Litchfield County PUMA
Woodstock,09 01500,Windham County PUMA